transaction_id,customer_id,card_number,timestamp,amount,merchant_id,merchant_category,merchant_lat,merchant_long,is_fraud,fraud_type,hour,day_of_week,month,distance_from_home
TXN_00065477,CUST_04582,CARD_68577,2025-12-29T05:22:15.805431Z,468.47,MERCHANT_1559,retail,26.8961,83.2193,0,none,5,0,12,345.32
TXN_00053070,CUST_03026,CARD_40327,2026-01-15T17:36:15.805431Z,222.26,MERCHANT_0210,gas,25.78,82.6634,0,none,17,3,1,234.67
TXN_00073149,CUST_04603,CARD_67847,2026-01-14T06:33:15.805431Z,10859.32,MERCHANT_0360,grocery,12.8695,70.0137,0,none,6,2,1,240.13
TXN_00039776,CUST_03856,CARD_40192,2026-01-06T21:52:15.805431Z,47.51,MERCHANT_0105,electronics,21.5268,75.7405,0,none,21,1,1,364.43
TXN_00009829,CUST_00866,CARD_50824,2026-01-07T01:48:15.805431Z,69.58,MERCHANT_0707,electronics,18.013,78.6433,0,none,1,2,1,221.48
TXN_00059086,CUST_00671,CARD_32029,2026-01-09T16:57:15.805431Z,3165.72,MERCHANT_0281,electronics,22.392,76.4951,0,none,16,4,1,279.07
TXN_00083100,CUST_02926,CARD_20499,2026-01-18T21:33:15.805431Z,13.79,MERCHANT_0870,grocery,20.6855,78.8646,0,none,21,6,1,264.8
TXN_00091412,CUST_01960,CARD_71603,2026-01-14T03:25:15.805431Z,124.32,MERCHANT_1393,luxury_goods,25.9459,77.4939,0,none,3,2,1,135.33
TXN_00001885,CUST_00376,CARD_02066,2025-12-31T01:11:15.805431Z,120.96,MERCHANT_1329,electronics,19.2866,71.6987,0,none,1,2,12,371.83
TXN_00020314,CUST_02322,CARD_59566,2025-12-30T00:54:15.805431Z,821.52,MERCHANT_1231,electronics,17.7948,86.4153,0,none,0,1,12,193.3
TXN_00090179,CUST_02967,CARD_59626,2026-01-20T04:52:15.805431Z,172.49,MERCHANT_1608,gas,21.1091,64.932,0,none,4,1,1,255.26
TXN_00033536,CUST_03973,CARD_94592,2026-01-13T07:42:15.805431Z,358.22,MERCHANT_0719,retail,21.0714,73.0219,0,none,7,1,1,216.99
TXN_00031059,CUST_02176,CARD_87868,2025-12-26T02:25:15.805431Z,2885.08,MERCHANT_0735,restaurant,11.4274,81.1087,0,none,2,4,12,236.95
TXN_00032981,CUST_02451,CARD_30178,2025-12-29T22:30:15.805431Z,95.73,MERCHANT_0011,luxury_goods,18.6551,73.717,0,none,22,0,12,16.71
TXN_00043164,CUST_03540,CARD_73570,2025-12-27T17:54:15.805431Z,226.08,MERCHANT_1456,restaurant,19.8142,78.3749,0,none,17,5,12,397.82
TXN_00007388,CUST_01058,CARD_48016,2026-01-19T09:05:15.805431Z,1441.26,MERCHANT_0656,luxury_goods,25.3125,77.6153,0,none,9,0,1,166.9
TXN_00011996,CUST_04710,CARD_17643,2026-01-16T19:47:15.805431Z,215.11,MERCHANT_0731,gas,19.4597,75.7815,0,none,19,4,1,274.21
TXN_00025618,CUST_01569,CARD_66294,2025-12-25T01:59:15.805431Z,270.36,MERCHANT_1169,gas,24.8117,73.5367,0,none,1,3,12,68.14
TXN_00011002,CUST_00258,CARD_54770,2025-12-29T01:18:15.805431Z,60.53,MERCHANT_0393,electronics,17.3249,82.9074,0,none,1,0,12,46.35
TXN_00044496,CUST_02757,CARD_58304,2026-01-12T02:41:15.805431Z,161.75,MERCHANT_1169,luxury_goods,25.8353,80.847,0,none,2,0,1,235.99
TXN_00052144,CUST_00971,CARD_48807,2026-01-12T07:56:15.805431Z,197.36,MERCHANT_1615,jewelry,20.1673,73.051,0,none,7,0,1,464.65
